optimizer,dimension,objective,skew,rotation,noise,path
SGD,100,multimin,0.5,0.0,0.0,raw/SGD-100/SGD_(100-dimensions)_multimin_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,100,multimin,0.99,0.0,0.0,raw/SGD-100/SGD_(100-dimensions)_multimin_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,100,peak,0.0,0.0,0.0,raw/SGD-100/SGD_(100-dimensions)_mejr_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,100,peak,0.0,0.0,0.5,raw/SGD-100/SGD_(100-dimensions)_mejr_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
SGD,100,peak,0.0,0.0,1.0,raw/SGD-100/SGD_(100-dimensions)_mejr_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
SGD,100,peak,0.0,0.5,0.0,raw/SGD-100/SGD_(100-dimensions)_mejr_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
SGD,100,peak,0.0,1.0,0.0,raw/SGD-100/SGD_(100-dimensions)_mejr_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
SGD,100,peak,0.5,0.0,0.0,raw/SGD-100/SGD_(100-dimensions)_mejr_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,100,peak,0.99,0.0,0.0,raw/SGD-100/SGD_(100-dimensions)_mejr_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,100,saddle,0.0,0.0,0.0,raw/SGD-100/SGD_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,100,saddle,0.0,0.0,0.5,raw/SGD-100/SGD_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
SGD,100,saddle,0.0,0.0,1.0,raw/SGD-100/SGD_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
SGD,100,saddle,0.0,0.5,0.0,raw/SGD-100/SGD_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
SGD,100,saddle,0.0,1.0,0.0,raw/SGD-100/SGD_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
SGD,100,saddle,0.5,0.0,0.0,raw/SGD-100/SGD_(100-dimensions)_saddle_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,100,saddle,0.99,0.0,0.0,raw/SGD-100/SGD_(100-dimensions)_saddle_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,basin,0.0,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_basin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,basin,0.0,0.0,0.5,raw/SGD-1000/SGD_(1000-dimensions)_basin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
SGD,1000,basin,0.0,0.0,1.0,raw/SGD-1000/SGD_(1000-dimensions)_basin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
SGD,1000,basin,0.0,0.5,0.0,raw/SGD-1000/SGD_(1000-dimensions)_basin_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
SGD,1000,basin,0.0,1.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_basin_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
SGD,1000,basin,0.5,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_basin_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,basin,0.99,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_basin_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,multimin,0.0,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,multimin,0.0,0.0,0.5,raw/SGD-1000/SGD_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
SGD,1000,multimin,0.0,0.0,1.0,raw/SGD-1000/SGD_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
SGD,1000,multimin,0.0,0.5,0.0,raw/SGD-1000/SGD_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
SGD,1000,multimin,0.0,1.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
SGD,1000,multimin,0.5,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_multimin_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,multimin,0.99,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_multimin_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,peak,0.0,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_mejr_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,peak,0.0,0.0,0.5,raw/SGD-1000/SGD_(1000-dimensions)_mejr_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
SGD,1000,peak,0.0,0.0,1.0,raw/SGD-1000/SGD_(1000-dimensions)_mejr_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
SGD,1000,peak,0.0,0.5,0.0,raw/SGD-1000/SGD_(1000-dimensions)_mejr_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
SGD,1000,peak,0.0,1.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_mejr_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
SGD,1000,peak,0.5,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_mejr_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,peak,0.99,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_mejr_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,saddle,0.0,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,saddle,0.0,0.0,0.5,raw/SGD-1000/SGD_(1000-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
SGD,1000,saddle,0.0,0.0,1.0,raw/SGD-1000/SGD_(1000-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
SGD,1000,saddle,0.0,0.5,0.0,raw/SGD-1000/SGD_(1000-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
SGD,1000,saddle,0.0,1.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
SGD,1000,saddle,0.5,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_saddle_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
SGD,1000,saddle,0.99,0.0,0.0,raw/SGD-1000/SGD_(1000-dimensions)_saddle_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
